scale,wavelength_nm,count_raw,count
Leaves,445.2,0.98,1
Leaves,475.2,2.98,3
Leaves,505.2,2.98,3
Leaves,515.0,1.97,2
Leaves,524.8,0.98,1
Leaves,535.2,3.98,4
Leaves,554.8,3.98,4
Leaves,575.0,3.98,4
Leaves,644.8,0.98,1
Leaves,665.0,0.98,1
Leaves,674.8,0.98,1
Leaves,685.2,1.97,2
Leaves,695.0,0.98,1
Leaves,704.8,1.97,2
Leaves,715.2,0.98,1
Leaves,755.0,2.98,3
Leaves,764.8,0.98,1
Leaves,805.2,4.97,5
Canopies,505.2,0.99,1
Canopies,535.2,0.99,1
Canopies,554.8,0.99,1
Canopies,575.6,0.99,1
Canopies,704.8,0.99,1
Canopies,805.2,0.99,1
Canopies,854.8,0.99,1
Landscape,685.2,0.99,1
Landscape,704.8,0.99,1
Landscape,725.0,1.98,2
