scale,wavelength_nm,count_raw,count
Leaves,435.0,0.96,1
Leaves,555.1,5.97,6
Leaves,665.2,0.96,1
Leaves,675.2,2.95,3
Leaves,685.2,5.97,6
Leaves,705.1,11.94,12
Leaves,715.0,2.95,3
Leaves,725.6,2.95,3
Leaves,754.9,11.94,12
Leaves,785.4,0.96,1
Leaves,805.3,2.95,3
Leaves,855.1,1.95,2
Canopies,435.0,0.97,1
Canopies,525.2,0.97,1
Canopies,685.2,0.97,1
Canopies,715.0,0.97,1
Canopies,725.6,0.97,1
Canopies,745.5,0.97,1
Landscape,665.2,0.97,1
Landscape,685.2,0.97,1
Landscape,705.1,0.97,1
Landscape,725.6,0.97,1
Landscape,825.2,1.93,2
