scale,wavelength_nm,count_raw,count,bar_width_px
Leaves,435.1,0.93,1,9
Leaves,445.0,2.94,3,10
Leaves,455.0,0.93,1,9
Leaves,474.8,0.93,1,9
Leaves,505.1,0.93,1,9
Leaves,534.9,2.94,3,10
Leaves,544.8,2.94,3,9
Leaves,555.2,14.95,15,9
Leaves,575.1,1.96,2,9
Leaves,585.0,0.93,1,10
Leaves,605.3,0.93,1,9
Leaves,625.2,0.93,1,9
Leaves,664.9,0.93,1,9
Leaves,675.3,1.96,2,9
Leaves,685.2,3.97,4,10
Leaves,695.2,0.93,1,9
Leaves,705.1,21.96,22,10
Leaves,715.0,13.97,14,9
Leaves,725.4,6.96,7,9
Leaves,735.3,3.97,4,10
Leaves,745.3,0.93,1,9
Leaves,755.2,22.99,23,10
Leaves,775.1,4.95,5,10
Leaves,785.0,3.97,4,9
Leaves,795.4,0.93,1,9
Leaves,805.3,2.94,3,10
Leaves,855.4,1.96,2,10
Leaves,895.2,0.93,1,10
Leaves,905.1,0.93,1,9
Leaves,915.0,1.96,2,10
Canopies,435.1,0.94,1,9
Canopies,555.2,5.94,6,9
Canopies,565.1,0.94,1,10
Canopies,645.0,0.94,1,9
Canopies,664.9,0.94,1,9
Canopies,675.3,4.95,5,9
Canopies,685.2,0.94,1,10
Canopies,705.1,5.94,6,10
Canopies,715.0,6.93,7,9
Canopies,725.4,2.92,3,9
Canopies,745.3,2.92,3,9
Canopies,755.2,4.95,5,10
Canopies,785.0,1.93,2,9
Canopies,795.4,0.94,1,9
Canopies,805.3,1.93,2,10
Canopies,825.2,0.94,1,10
Canopies,845.0,0.94,1,10
Canopies,855.4,2.92,3,10
Landscape,555.2,2.95,3,9
Landscape,565.1,0.93,1,10
Landscape,605.3,0.93,1,9
Landscape,645.0,1.92,2,9
Landscape,675.3,4.92,5,9
Landscape,685.2,1.92,2,10
Landscape,705.1,8.9,9,10
Landscape,715.0,2.9,3,9
Landscape,725.4,3.93,4,9
Landscape,755.2,7.92,8,10
Landscape,775.1,0.93,1,10
Landscape,795.4,1.92,2,9
Landscape,805.3,1.92,2,10
Landscape,815.2,0.93,1,9
Landscape,855.4,1.92,2,10
